question_number,house,date,ministry,subject,year_covered,inspections_conducted,irregularities_detected,irregularities_rectified,prosecutions_launched,convictions,claims_filed,claim_amount_awarded_lakhs,official_quote
Unstarred Question No. 2516,Lok Sabha,2023-12-18,Ministry of Labour and Employment,Enforcement of Minimum Wages Act 1948,2021-22,5022,35983,8726,492,167,1120,412.5,"Details regarding enforcement of Minimum Wages Act in the State sphere are not maintained centrally."
Unstarred Question No. 2463,Lok Sabha,2022-08-01,Ministry of Labour and Employment,Non-Compliance of Wage Laws,2020-21,7709,60528,44300,1633,413,1680,598.2,"CIRM officers conduct regular inspections. In cases of non-payment or under-payment, claim cases are filed."
Unstarred Question No. 1371,Lok Sabha,2022-07-25,Ministry of Labour and Employment,Minimum Wages Violations State-wise,2019-20,8327,61489,46100,2081,651,1940,684.0,"Enforcement in Central sphere is done by CIRM. State Governments enforce provisions in State sphere."
Unstarred Question No. 2194,Lok Sabha,2019-12-02,Ministry of Labour and Employment,Complaints of Wages Below Minimum Rates,2018-19,9187,77399,58420,1651,2205,1890,742.8,"When irregularities are detected, employers are directed to pay shortfall, failing which penal action under Section 22 is initiated."
Unstarred Question No. 291,Lok Sabha,2019-06-24,Ministry of Labour and Employment,Implementation of Labour Laws and Inspections,2017-18,10240,84120,62100,1890,2410,2110,815.4,"Under the Minimum Wages Act 1948, both Central and State Governments are appropriate governments in their respective spheres."
